Label,Method,User-Agent,Pragma,Cache-Control,Accept,Accept-encoding,Accept-charset,language,host,cookie,content-type,connection,length,content,classification,URL
Anomalous,0,0,0,0,1,0,0,0,0,42713,0,1,0,0,1,3574
Anomalous,0,0,0,0,1,0,0,0,0,58660,0,1,0,0,1,8498
Anomalous,0,0,0,0,1,0,0,0,0,44648,0,1,0,0,1,5739
Anomalous,0,0,0,0,1,0,0,0,0,58371,0,1,0,0,1,8327
Normal,0,0,0,0,1,0,0,0,0,40085,0,1,0,0,0,3506
Anomalous,0,0,0,0,1,0,0,0,0,54326,0,1,0,0,1,8090
Normal,0,0,0,0,1,0,0,0,0,2965,0,1,0,0,0,8409
Anomalous,1,0,0,0,1,0,0,0,0,9949,1,0,341,1321,1,3578
Normal,1,0,0,0,1,0,0,0,0,39240,1,0,114,10954,0,884
Normal,0,0,0,0,1,0,0,0,0,35347,0,1,0,0,0,438
Anomalous,0,0,0,0,1,0,0,0,0,39671,0,1,0,0,1,3215
Anomalous,1,0,0,0,1,0,0,0,0,35337,1,0,292,2459,1,8244
Anomalous,1,0,0,0,1,0,0,0,0,22822,1,0,377,160,1,8443
Normal,0,0,0,0,1,0,0,0,0,9770,0,1,0,0,0,398
Normal,0,0,0,0,1,0,0,0,0,47242,0,1,0,0,0,2199
Anomalous,0,0,0,0,1,0,0,0,0,19365,0,1,0,0,1,2302
Anomalous,0,0,0,0,1,0,0,0,0,17364,0,1,0,0,1,13474
Normal,0,0,0,0,1,0,0,0,0,40098,0,1,0,0,0,10467
Normal,0,0,0,0,1,0,0,0,0,52668,0,1,0,0,0,9888
Normal,1,0,0,0,1,0,0,0,0,44004,1,0,264,227,0,8244
Anomalous,0,0,0,0,1,0,0,0,0,32419,0,1,0,0,1,577
Normal,0,0,0,0,1,0,0,0,0,27484,0,1,0,0,0,10914
Normal,1,0,0,0,1,0,0,0,0,11291,1,0,72,30,0,13355
Anomalous,0,0,0,0,1,0,0,0,0,3244,0,1,0,0,1,8560
Normal,1,0,0,0,1,0,0,0,0,12724,1,0,123,9651,0,10948
Anomalous,0,0,0,0,1,0,0,0,0,21264,0,1,0,0,1,8513
Normal,1,0,0,0,1,0,0,0,0,14022,1,0,332,1641,0,3578
Anomalous,0,0,0,0,1,0,0,0,0,4406,0,1,0,0,1,5848
Normal,0,0,0,0,1,0,0,0,0,14165,0,1,0,0,0,3422
Anomalous,0,0,0,0,1,0,0,0,0,32905,0,1,0,0,1,3490
Anomalous,1,0,0,0,1,0,0,0,0,38999,1,0,342,524,1,3578
Anomalous,1,0,0,0,1,0,0,0,0,20071,1,0,52,335,1,3578
Normal,1,0,0,0,1,0,0,0,0,56528,1,0,111,7315,0,10948
Normal,0,0,0,0,1,0,0,0,0,29976,0,1,0,0,0,10914
Normal,1,0,0,0,1,0,0,0,0,59081,1,0,118,7854,0,10948
Anomalous,0,0,0,0,1,0,0,0,0,60865,0,1,0,0,1,393
Normal,1,0,0,0,1,0,0,0,0,42596,1,0,330,4306,0,5840
Anomalous,0,0,0,0,1,0,0,0,0,7482,0,1,0,0,1,8407
Anomalous,0,0,0,0,1,0,0,0,0,59045,0,1,0,0,1,3492
Anomalous,1,0,0,0,1,0,0,0,0,46378,1,0,292,2459,1,8244
Anomalous,0,0,0,0,1,0,0,0,0,3590,0,1,0,0,1,51
Normal,0,0,0,0,1,0,0,0,0,22100,0,1,0,0,0,3282
Normal,0,0,0,0,1,0,0,0,0,17082,0,1,0,0,0,3352
Anomalous,0,0,0,0,1,0,0,0,0,13481,0,1,0,0,1,245
Normal,0,0,0,0,1,0,0,0,0,24468,0,1,0,0,0,8409
Anomalous,1,0,0,0,1,0,0,0,0,23889,1,0,133,10684,1,10948
Normal,0,0,0,0,1,0,0,0,0,37323,0,1,0,0,0,10077
Anomalous,1,0,0,0,1,0,0,0,0,53562,1,0,314,4882,1,5840
Anomalous,0,0,0,0,1,0,0,0,0,59506,0,1,0,0,1,13310
Anomalous,0,0,0,0,1,0,0,0,0,50393,0,1,0,0,1,8560
Normal,0,0,0,0,1,0,0,0,0,36291,0,1,0,0,0,8561
Anomalous,1,0,0,0,1,0,0,0,0,14630,1,0,292,2433,1,8244
Anomalous,1,0,0,0,1,0,0,0,0,18808,1,0,247,9623,1,884
Anomalous,0,0,0,0,1,0,0,0,0,43613,0,1,0,0,1,8550
Anomalous,1,0,0,0,1,0,0,0,0,44178,1,0,79,82,1,13355
Anomalous,0,0,0,0,1,0,0,0,0,40922,0,1,0,0,1,13452
Normal,1,0,0,0,1,0,0,0,0,15255,1,0,129,8535,0,10948
Anomalous,1,0,0,0,1,0,0,0,0,31497,1,0,292,2433,1,8244
Normal,0,0,0,0,1,0,0,0,0,5696,0,1,0,0,0,3282
Normal,0,0,0,0,1,0,0,0,0,16786,0,1,0,0,0,10105
Normal,1,0,0,0,1,0,0,0,0,13336,1,0,333,801,0,3578
Normal,0,0,0,0,1,0,0,0,0,25019,0,1,0,0,0,3282
Anomalous,0,0,0,0,1,0,0,0,0,43163,0,1,0,0,1,8316
Normal,0,0,0,0,1,0,0,0,0,15778,0,1,0,0,0,3506
Anomalous,0,0,0,0,1,0,0,0,0,60536,0,1,0,0,1,233
Normal,0,0,0,0,1,0,0,0,0,54727,0,1,0,0,0,3460
Normal,0,0,0,0,1,0,0,0,0,44496,0,1,0,0,0,8354
Normal,0,0,0,0,1,0,0,0,0,11403,0,1,0,0,0,8561
Anomalous,0,0,0,0,1,0,0,0,0,20230,0,1,0,0,1,8407
Anomalous,0,0,0,0,1,0,0,0,0,52688,0,1,0,0,1,3154
Normal,0,0,0,0,1,0,0,0,0,11560,0,1,0,0,0,438
Normal,0,0,0,0,1,0,0,0,0,359,0,1,0,0,0,3352
Anomalous,1,0,0,0,1,0,0,0,0,49927,1,0,339,955,1,3578
Anomalous,1,0,0,0,1,0,0,0,0,40656,1,0,317,3949,1,5840
Normal,1,0,0,0,1,0,0,0,0,3970,1,0,306,4729,0,5840
Anomalous,0,0,0,0,1,0,0,0,0,58984,0,1,0,0,1,3331
Anomalous,1,0,0,0,1,0,0,0,0,38298,1,0,283,7009,1,8600
Normal,0,0,0,0,1,0,0,0,0,57809,0,1,0,0,0,10914
Anomalous,1,0,0,0,1,0,0,0,0,30824,1,0,79,82,1,13355
Normal,0,0,0,0,1,0,0,0,0,25620,0,1,0,0,0,8312
Normal,0,0,0,0,1,0,0,0,0,44183,0,1,0,0,0,3506
Normal,0,0,0,0,1,0,0,0,0,22057,0,1,0,0,0,8354
Anomalous,1,0,0,0,1,0,0,0,0,43556,1,0,146,9325,1,10948
Normal,1,0,0,0,1,0,0,0,0,8852,1,0,151,7741,0,884
Normal,0,0,0,0,1,0,0,0,0,2339,0,1,0,0,0,10914
Normal,0,0,0,0,1,0,0,0,0,55979,0,1,0,0,0,8312
Anomalous,0,0,0,0,1,0,0,0,0,30745,0,1,0,0,1,3549
Normal,0,0,0,0,1,0,0,0,0,2505,0,1,0,0,0,9726
Anomalous,0,0,0,0,1,0,0,0,0,186,0,1,0,0,1,13364
Anomalous,0,0,0,0,1,0,0,0,0,39345,0,1,0,0,1,12567
Normal,0,0,0,0,1,0,0,0,0,20304,0,1,0,0,0,800
Anomalous,0,0,0,0,1,0,0,0,0,35212,0,1,0,0,1,193
Anomalous,1,0,0,0,1,0,0,0,0,26146,1,0,163,10922,1,884
Normal,0,0,0,0,1,0,0,0,0,6048,0,1,0,0,0,10453
Anomalous,1,0,0,0,1,0,0,0,0,37554,1,0,339,2048,1,3578
Normal,0,0,0,0,1,0,0,0,0,35523,0,1,0,0,0,8561
Anomalous,0,0,0,0,1,0,0,0,0,48157,0,1,0,0,1,1681
Anomalous,0,0,0,0,1,0,0,0,0,22700,0,1,0,0,1,8406
Normal,0,0,0,0,1,0,0,0,0,707,0,1,0,0,0,757
Normal,0,0,0,0,1,0,0,0,0,22062,0,1,0,0,0,8409
Normal,0,0,0,0,1,0,0,0,0,53501,0,1,0,0,0,8312
Normal,1,0,0,0,1,0,0,0,0,6216,1,0,72,30,0,13355
Anomalous,1,0,0,0,1,0,0,0,0,21048,1,0,145,8830,1,10948
Normal,0,0,0,0,1,0,0,0,0,21732,0,1,0,0,0,13422
Anomalous,1,0,0,0,1,0,0,0,0,9671,1,0,342,270,1,3578
Normal,0,0,0,0,1,0,0,0,0,45176,0,1,0,0,0,8354
Anomalous,1,0,0,0,1,0,0,0,0,24925,1,0,79,82,1,13355
Anomalous,0,0,0,0,1,0,0,0,0,951,0,1,0,0,1,1697
Normal,1,0,0,0,1,0,0,0,0,40743,1,0,256,5305,0,8600
Anomalous,0,0,0,0,1,0,0,0,0,46116,0,1,0,0,1,134
Anomalous,1,0,0,0,1,0,0,0,0,22843,1,0,122,11447,1,10948
Normal,0,0,0,0,1,0,0,0,0,8688,0,1,0,0,0,4008
Anomalous,0,0,0,0,1,0,0,0,0,56106,0,1,0,0,1,74
Normal,0,0,0,0,1,0,0,0,0,57751,0,1,0,0,0,438
Normal,0,0,0,0,1,0,0,0,0,48271,0,1,0,0,0,9690
Normal,1,0,0,0,1,0,0,0,0,28346,1,0,216,111,0,8443
Normal,0,0,0,0,1,0,0,0,0,32694,0,1,0,0,0,757
Anomalous,0,0,0,0,1,0,0,0,0,25160,0,1,0,0,1,6794
Normal,0,0,0,0,1,0,0,0,0,49780,0,1,0,0,0,2204
Anomalous,1,0,0,0,1,0,0,0,0,4612,1,0,340,1439,1,3578
Anomalous,0,0,0,0,1,0,0,0,0,51272,0,1,0,0,1,9899
Normal,0,0,0,0,1,0,0,0,0,55975,0,1,0,0,0,3385
Normal,1,0,0,0,1,0,0,0,0,46565,1,0,170,9338,0,884
Anomalous,1,0,0,0,1,0,0,0,0,59322,1,0,129,11280,1,10948
Normal,0,0,0,0,1,0,0,0,0,47848,0,1,0,0,0,3506
Normal,0,0,0,0,1,0,0,0,0,39578,0,1,0,0,0,3506
Anomalous,1,0,0,0,1,0,0,0,0,44343,1,0,269,5913,1,8600
Anomalous,1,0,0,0,1,0,0,0,0,8419,1,0,317,2925,1,5840
Normal,0,0,0,0,1,0,0,0,0,25800,0,1,0,0,0,3460
Normal,1,0,0,0,1,0,0,0,0,18042,1,0,72,30,0,13355
Normal,1,0,0,0,1,0,0,0,0,7914,1,0,216,111,0,8443
Normal,1,0,0,0,1,0,0,0,0,1861,1,0,333,2306,0,3578
Anomalous,0,0,0,0,1,0,0,0,0,28498,0,1,0,0,1,12523
Normal,0,0,0,0,1,0,0,0,0,41882,0,1,0,0,0,3385
Normal,0,0,0,0,1,0,0,0,0,36994,0,1,0,0,0,612
Anomalous,1,0,0,0,1,0,0,0,0,48252,1,0,298,127,1,8443
Normal,1,0,0,0,1,0,0,0,0,24116,1,0,280,5240,0,8600
Normal,0,0,0,0,1,0,0,0,0,8862,0,1,0,0,0,7862
Normal,0,0,0,0,1,0,0,0,0,54026,0,1,0,0,0,3422
Normal,1,0,0,0,1,0,0,0,0,42874,1,0,337,2113,0,3578
Normal,0,0,0,0,1,0,0,0,0,37633,0,1,0,0,0,13020
Normal,0,0,0,0,1,0,0,0,0,51129,0,1,0,0,0,10914
Normal,1,0,0,0,1,0,0,0,0,27015,1,0,216,111,0,8443
Anomalous,1,0,0,0,1,0,0,0,0,2033,1,0,145,8685,1,884
Normal,0,0,0,0,1,0,0,0,0,28596,0,1,0,0,0,8409
Normal,0,0,0,0,1,0,0,0,0,37720,0,1,0,0,0,1928
Anomalous,1,0,0,0,1,0,0,0,0,19500,1,0,147,9868,1,884
Normal,0,0,0,0,1,0,0,0,0,8544,0,1,0,0,0,5315
Normal,0,0,0,0,1,0,0,0,0,30806,0,1,0,0,0,719
Normal,0,0,0,0,1,0,0,0,0,44525,0,1,0,0,0,3422
Normal,0,0,0,0,1,0,0,0,0,22302,0,1,0,0,0,3282
Anomalous,0,0,0,0,1,0,0,0,0,45626,0,1,0,0,1,65
Anomalous,0,0,0,0,1,0,0,0,0,44991,0,1,0,0,1,4404
Normal,1,0,0,0,1,0,0,0,0,42226,1,0,330,2903,0,5840
Normal,0,0,0,0,1,0,0,0,0,40708,0,1,0,0,0,719
Normal,0,0,0,0,1,0,0,0,0,13105,0,1,0,0,0,476
Anomalous,1,0,0,0,1,0,0,0,0,35391,1,0,347,61,1,13355
Normal,0,0,0,0,1,0,0,0,0,3289,0,1,0,0,0,7823
Normal,0,0,0,0,1,0,0,0,0,17523,0,1,0,0,0,1482
Normal,0,0,0,0,1,0,0,0,0,43477,0,1,0,0,0,684
Anomalous,1,0,0,0,1,0,0,0,0,16145,1,0,135,8946,1,10948
Anomalous,1,0,0,0,1,0,0,0,0,1278,1,0,131,101,1,8443
Anomalous,1,0,0,0,1,0,0,0,0,9010,1,0,25,1970,1,3578
Anomalous,0,0,0,0,1,0,0,0,0,39029,0,1,0,0,1,4270
Anomalous,0,0,0,0,1,0,0,0,0,28360,0,1,0,0,1,4275
Normal,0,0,0,0,1,0,0,0,0,36161,0,1,0,0,0,757
Normal,1,0,0,0,1,0,0,0,0,3750,1,0,333,1569,0,3578
Normal,0,0,0,0,1,0,0,0,0,52502,0,1,0,0,0,8354
Anomalous,0,0,0,0,1,0,0,0,0,53072,0,1,0,0,1,5691
Normal,0,0,0,0,1,0,0,0,0,50566,0,1,0,0,0,3506
Normal,1,0,0,0,1,0,0,0,0,49699,1,0,337,2049,0,3578
Anomalous,1,0,0,0,1,0,0,0,0,57643,1,0,227,164,1,8443
Normal,0,0,0,0,1,0,0,0,0,47481,0,1,0,0,0,3282
Anomalous,0,0,0,0,1,0,0,0,0,26761,0,1,0,0,1,136
Normal,0,0,0,0,1,0,0,0,0,22178,0,1,0,0,0,612
Anomalous,0,0,0,0,1,0,0,0,0,58418,0,1,0,0,1,147
Normal,0,0,0,0,1,0,0,0,0,2588,0,1,0,0,0,757
Normal,0,0,0,0,1,0,0,0,0,13765,0,1,0,0,0,8561
Normal,0,0,0,0,1,0,0,0,0,33233,0,1,0,0,0,363
Anomalous,0,0,0,0,1,0,0,0,0,53855,0,1,0,0,1,478
Normal,0,0,0,0,1,0,0,0,0,24507,0,1,0,0,0,3460
Anomalous,0,0,0,0,1,0,0,0,0,9678,0,1,0,0,1,5346
Normal,0,0,0,0,1,0,0,0,0,54890,0,1,0,0,0,800
Anomalous,0,0,0,0,1,0,0,0,0,29563,0,1,0,0,1,8406
Anomalous,0,0,0,0,1,0,0,0,0,1169,0,1,0,0,1,5102
Normal,0,0,0,0,1,0,0,0,0,27455,0,1,0,0,0,3385
Anomalous,1,0,0,0,1,0,0,0,0,26969,1,0,341,126,1,8443
Normal,0,0,0,0,1,0,0,0,0,3626,0,1,0,0,0,363
Normal,0,0,0,0,1,0,0,0,0,35646,0,1,0,0,0,398
Normal,0,0,0,0,1,0,0,0,0,59803,0,1,0,0,0,800
Normal,1,0,0,0,1,0,0,0,0,10447,1,0,280,5398,0,8600
Normal,0,0,0,0,1,0,0,0,0,29810,0,1,0,0,0,8507
Normal,0,0,0,0,1,0,0,0,0,39954,0,1,0,0,0,8354
Anomalous,0,0,0,0,1,0,0,0,0,30585,0,1,0,0,1,4824
Anomalous,1,0,0,0,1,0,0,0,0,6637,1,0,341,2099,1,3578
Anomalous,0,0,0,0,1,0,0,0,0,27063,0,1,0,0,1,10019
Normal,1,0,0,0,1,0,0,0,0,21337,1,0,256,5220,0,8600
Normal,0,0,0,0,1,0,0,0,0,41064,0,1,0,0,0,570
Anomalous,0,0,0,0,1,0,0,0,0,34028,0,1,0,0,1,10063
Normal,0,0,0,0,1,0,0,0,0,34530,0,1,0,0,0,8409
Normal,0,0,0,0,1,0,0,0,0,49109,0,1,0,0,0,11626
Anomalous,0,0,0,0,1,0,0,0,0,20583,0,1,0,0,1,12233
Anomalous,0,0,0,0,1,0,0,0,0,40118,0,1,0,0,1,8560
Anomalous,0,0,0,0,1,0,0,0,0,57821,0,1,0,0,1,5968
Normal,1,0,0,0,1,0,0,0,0,48930,1,0,333,2311,0,3578
Normal,0,0,0,0,1,0,0,0,0,23481,0,1,0,0,0,757
Normal,1,0,0,0,1,0,0,0,0,27089,1,0,150,10123,0,10948
Normal,0,0,0,0,1,0,0,0,0,44314,0,1,0,0,0,11755
Normal,0,0,0,0,1,0,0,0,0,9325,0,1,0,0,0,684
Normal,1,0,0,0,1,0,0,0,0,27449,1,0,338,1409,0,3578
Normal,0,0,0,0,1,0,0,0,0,2225,0,1,0,0,0,10914
Normal,0,0,0,0,1,0,0,0,0,17069,0,1,0,0,0,757
Anomalous,1,0,0,0,1,0,0,0,0,34537,1,0,314,2722,1,5840
Anomalous,0,0,0,0,1,0,0,0,0,25454,0,1,0,0,1,8406
Normal,0,0,0,0,1,0,0,0,0,58150,0,1,0,0,0,10914
Anomalous,0,0,0,0,1,0,0,0,0,21619,0,1,0,0,1,1161
Anomalous,1,0,0,0,1,0,0,0,0,55726,1,0,256,116,1,8443
Anomalous,1,0,0,0,1,0,0,0,0,40330,1,0,123,9710,1,884
Normal,0,0,0,0,1,0,0,0,0,42608,0,1,0,0,0,3422
Normal,0,0,0,0,1,0,0,0,0,6366,0,1,0,0,0,3506
Anomalous,1,0,0,0,1,0,0,0,0,60601,1,0,99,33,1,13355
Normal,0,0,0,0,1,0,0,0,0,1897,0,1,0,0,0,4958
Normal,0,0,0,0,1,0,0,0,0,14985,0,1,0,0,0,3282
Normal,0,0,0,0,1,0,0,0,0,806,0,1,0,0,0,612
Normal,0,0,0,0,1,0,0,0,0,4354,0,1,0,0,0,7717
Normal,0,0,0,0,1,0,0,0,0,35713,0,1,0,0,0,438
Normal,0,0,0,0,1,0,0,0,0,13728,0,1,0,0,0,8409
Anomalous,1,0,0,0,1,0,0,0,0,46550,1,0,160,11707,1,10948
Normal,1,0,0,0,1,0,0,0,0,11734,1,0,110,8817,0,10948
Normal,0,0,0,0,1,0,0,0,0,37732,0,1,0,0,0,9290
Normal,0,0,0,0,1,0,0,0,0,23004,0,1,0,0,0,8561
Normal,0,0,0,0,1,0,0,0,0,29916,0,1,0,0,0,8409
Normal,0,0,0,0,1,0,0,0,0,60584,0,1,0,0,0,3460
Anomalous,0,0,0,0,1,0,0,0,0,17864,0,1,0,0,1,7151
Normal,0,0,0,0,1,0,0,0,0,34783,0,1,0,0,0,4153
Normal,0,0,0,0,1,0,0,0,0,2093,0,1,0,0,0,800
Normal,0,0,0,0,1,0,0,0,0,54583,0,1,0,0,0,12109
Anomalous,0,0,0,0,1,0,0,0,0,35776,0,1,0,0,1,251
Normal,1,0,0,0,1,0,0,0,0,6921,1,0,216,111,0,8443
